episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,0.502091316396975,0.1034338394129313,0.17238971942635362,0.03138075388625077,0.0,0.015239795927098605,1.496439614305935,1.5070242971555958,0.7637596398973876,4187874347.6375775,0.6907554089274865,1.6089280035705247,0.04974319262702662,119.0,0.0,0.0,0.0,0.973208178224424,0.7493723849372388,0.7395696537764003,0.8334694346152645,0.5197859630787178,0.015440150164067745,0.0525035878090573,-0.18576574092682777,0.2428558710940977,0.37656903765690375,1.507024290214651,0.0,239
1,eval,pact,3.0,0,0.36491424218167223,0.044455346821916965,0.07409224013999048,0.018448079168547148,0.0,0.004923317777226722,0.33229392081125014,0.3836261375678633,0.7022377257566572,1056.4364343108493,0.43817018577244493,11.869464782491388,0.02451089498436928,357.0,0.0,96.25523012552301,0.0,0.9931262768960897,0.9000000000000004,0.893813629778858,0.5664621283815914,0.4900149944855202,0.004316794120573572,0.026032224560553933,-0.0942775095054031,0.5826582391168875,0.06276150627615062,0.38362614082075064,0.0,239
2,eval,pact,3.0,0,0.4955261374568512,0.022796587666834206,0.03799431087173582,0.0,0.0,0.005085089396895786,0.38722348481292007,0.38549347701930603,0.611653232175436,6681.742899491697,0.2506306210384708,15.563004974540807,0.007634620339182015,595.0,0.0,333.0,0.0,0.984541796490737,0.9000000000000004,0.8860876096342398,0.8517649889128839,0.7482152202544776,0.01188278639068206,0.007359394258951036,-0.06639388189053791,0.11228819846286239,0.40585774058577406,0.38549347888224644,0.0,239
3,eval,pact,3.0,0,0.4392558730871779,0.01999821928860926,0.033330363616666726,0.0,0.0,0.00534095384948205,0.39127479100825896,0.3940118117312507,0.2482711793810994,37580.35872123431,0.12670072742687172,39.70452101559818,0.007722247738749662,833.0,0.0,571.0,0.0,0.9822501041400382,0.9000000000000004,0.8840250733257836,0.865273359165593,0.7433256140720561,0.006268347888045124,0.007599665505702463,-0.06471110488487339,0.10828214487076765,0.4769874476987448,0.39401181147367664,0.0,239
4,eval,pact,3.0,0,0.0760018663305159,0.005813334888327868,0.009688891085403979,0.0,0.0,0.004362929795545265,0.34322310416768287,0.3486809574659898,0.7174173194494208,86622.81785270659,0.14435600822939534,96.78907247567277,0.006053502709900953,1071.0,0.0,809.0,0.0,0.9855402069610532,0.9000000000000004,0.8869861600039893,1.1737008979663095,0.34518207992463534,0.0028659125614331335,0.0051638526465962,-0.07859237829556086,0.385649425798985,0.19246861924686193,0.3486809571568772,0.0,239
5,eval,pact,3.0,0,0.48112744734638124,0.020877692518107137,0.034796152509907606,0.0,0.0,0.005160225289347718,0.38824535114495823,0.38555035232001267,-0.529485274246547,61140.48878791841,0.06874740233901906,44.32756072407487,0.007092397500006833,1309.0,0.0,1047.0,0.0,0.9826292278377581,0.9000000000000004,0.884366290215169,0.8158429585126593,0.7479859802677085,0.005519266474422895,0.006710996700082536,-0.06237640748632881,0.10810409804445235,0.5941422594142259,0.38555035203127286,0.0,239
6,eval,pact,3.0,0,0.00014589538669387058,2.293953013699039e-05,3.823255384726904e-05,0.0,0.0,0.00375929855347989,0.31657793656552685,0.32321618453728107,-1.1073796302703633,68672.07322992939,0.10085136443376541,38.13343811035156,0.005179281886686497,1547.0,0.0,1285.0,0.0,0.9857323357999075,0.9000000000000004,0.8871590855480737,47.0695479633463,-82.11386991324953,0.003016860011382456,0.003984812768146972,-0.08027576439704766,0.4656221252856167,0.04184100418410042,0.3232161846810835,0.0,239
7,eval,pact,3.0,0,0.17909063403861195,0.007810116833417668,0.013016861067904246,0.0,0.0,0.004048633571347869,0.3333278904400111,0.3329279375375564,0.34766827729456595,52024.083502222806,0.10576602665193098,29.311522648424283,0.0048396353189498345,1785.0,0.0,1523.0,0.0,0.9838190361171587,0.9000000000000004,0.8854371202665393,0.8284537969203888,0.5295271416789252,0.0018146574322175045,0.004453906456980792,-0.08087584625029591,0.47571144544348487,0.18828451882845187,0.33292793938994714,0.0,239
8,eval,pact,3.0,0,0.42329975400295616,0.023478260348908774,0.03913043243367812,0.0,0.0,0.005765122591389273,0.37724051802228187,0.3775775555412141,0.7049808983523477,43040.20683103426,0.12114812388127694,35.78570885139529,0.005429690380076095,2023.0,0.0,1761.0,0.0,0.9760149329526654,0.9000000000000004,0.8784134252051429,0.9294068620291479,0.8003392259790162,0.0021501632841074304,0.00564034741491695,-0.11250596357649303,0.662126472595626,0.11297071129707113,0.3775775586166723,0.0,239
9,eval,pact,3.0,0,0.15197705929011698,0.004190576971190445,0.0069842945959695405,0.0,0.0,0.003307876070945769,0.3178803000490037,0.31757706553367393,-0.7098793272195952,54295.349127222806,0.0604338524044807,55.959193892059965,0.00417455228943783,2261.0,0.0,1999.0,0.0,0.9848970899272663,0.9000000000000004,0.88640736355193,0.43243747105546965,0.442332970250666,0.0018325456431840495,0.003658110682100494,-0.07508382562335474,0.3274281135938753,0.0,0.3175770665236434,0.0,239
