A,arm,b0,beta_cos,clipped,corr_frac,cr,explained,fit_gain,kind,load,load_pu,pred_err,q_loss,resid_after,reward,sat,sigma,trust,v_out
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9784722222222222,nan,nan,ladder,0.0,0.0,nan,0.14438330030143262,0.0,-0.02928353194920924,0.0,0.0,nan,0.002441077441077441
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9784722222222222,nan,nan,ladder,0.04816810547230893,0.03853448632054955,nan,0.14092583591338684,0.038534486530112294,-0.030237075481479296,0.0,2.0,nan,0.0022516835016835016
0.2608965189707507,oracle,-0.02928353194920924,0.0,0.0,0.8999999685214565,0.9791666666666666,1.0,-0.9869519793231222,ladder,0.04816810547230893,0.03853448632054955,0.0,0.141320278488961,0.003853449399831593,-0.029066345778936374,0.0,2.0,0.9000000357627869,0.00242003367003367
0.2608965189707507,pact,-0.02928353194920924,0.0,0.0,0.6901487371348141,0.9770833333333333,0.414311015584924,-1.0234797522168568,ladder,0.04816810547230893,0.03853448632054955,0.022569224158039306,0.14486066508943474,0.0226343156382048,-0.02989806662018932,0.0,2.0,0.8637907462194562,0.002609427609427609
0.2608965189707507,intercept,-0.02928353194920924,0.0,0.0,0.7072158145907774,0.9791666666666666,0.3316240753348054,0.2931821715979216,ladder,0.04816810547230893,0.03853448632054955,0.0257555229259956,0.1451430198927903,0.026390133776990548,-0.029954551995496133,0.0,2.0,0.873216783379515,0.0022727272727272726
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9729166666666667,nan,nan,ladder,0.07225215789303042,0.05780172904913646,nan,0.14405627579296917,0.057801728854711756,-0.031355620766601956,0.0,3.0,nan,0.002567340067340067
0.2608965189707507,oracle,-0.02928353194920924,0.0,0.0,0.8999999704712845,0.9791666666666666,1.0,-1.1879640158878626,ladder,0.07225215789303042,0.05780172904913646,0.0,0.1400250256460696,0.005780174167775461,-0.02898309992202716,0.0,3.0,0.9000000357627869,0.00242003367003367
0.2608965189707507,pact,-0.02928353194920924,0.0,0.0,0.6817271540153462,0.9479166666666666,0.4207518910788993,-0.9444417129181804,ladder,0.07225215789303042,0.05780172904913646,0.033481542244082146,0.1532833507662499,0.0337433191911815,-0.031318061025416004,0.0,3.0,0.8636600634083151,0.007617845117845117
0.2608965189707507,intercept,-0.02928353194920924,0.0,0.0,0.661334041909272,0.9659722222222222,0.31887527349198497,0.2902946789748967,ladder,0.07225215789303042,0.05780172904913646,0.03937018689028346,0.15132624262886996,0.04060743339235241,-0.031006528215809192,0.0,3.0,0.873216783379515,0.0032617845117845112
