episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,0.0,0,0.16342436824145895,0.0,0.0,0.0,0.0,0.015779678037616124,1.5728179996981282,1.5728179996981282,0.0,-0.20990260758427534,0.4364817947120093,0.19665271966527198,1.5728179958698834,0.0,239
1,eval,blind,0.0,0,0.05101152724064263,0.0,0.0,0.0,0.0,0.009974511726038476,0.6511125090730739,0.6511125090730739,0.0,-0.08537759298147596,0.07997269948663166,0.7489539748953975,0.6511125134866196,0.0,239
2,eval,blind,0.0,0,0.4859937123801958,0.0,0.0,0.0,0.0,0.009084727186475837,0.619691543623992,0.619691543623992,0.0,-0.11938204199250801,0.4743464197750675,0.17573221757322174,0.6196915459054341,0.0,239
3,eval,blind,0.0,0,0.13356819286291968,0.0,0.0,0.0,0.0,0.010136908992821016,0.6112050946536922,0.6112050946536922,0.0,-0.092142142425969,0.1861182824416155,0.41422594142259417,0.611205092336672,0.0,239
4,eval,blind,0.0,0,0.19920830527869945,0.0,0.0,0.0,0.0,0.00983378404720246,0.6456992664845917,0.6456992664845917,0.0,-0.08267855103908707,0.040297931689367635,0.8577405857740585,0.6456992644878384,0.0,239
5,eval,blind,0.0,0,0.0349310103396663,0.0,0.0,0.0,0.0,0.010129950356096902,0.6540186169506615,0.6540186169506615,0.0,-0.0883738415811756,0.1030297634944657,0.7238493723849372,0.654018618128739,0.0,239
6,eval,blind,0.0,0,0.08746963563609224,0.0,0.0,0.0,0.0,0.01078627325952926,0.6340887299641406,0.6340887299641406,0.0,-0.09846263630619459,0.23154989762307487,0.26359832635983266,0.6340887273323955,0.0,239
7,eval,blind,0.0,0,0.19109902345770474,0.0,0.0,0.0,0.0,0.010429579195192388,0.64142175548745,0.64142175548745,0.0,-0.11794102027308882,0.4298347131962373,0.11297071129707113,0.6414217572050903,0.0,239
8,eval,blind,0.0,0,0.24058936510885828,0.0,0.0,0.0,0.0,0.009669977778015525,0.6508085899772006,0.6508085899772006,0.0,-0.08022057186993367,0.02884358586308199,0.799163179916318,0.6508085944002857,0.0,239
9,eval,blind,0.0,0,0.4417291495469365,0.0,0.0,0.0,0.0,0.010196070466385414,0.6379337711064885,0.6379337711064885,0.0,-0.09994741628834622,0.2733315528650701,0.18828451882845187,0.6379337709052222,0.0,239
10,eval,blind,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01126633932089207,0.6800381269415053,0.6800381269415053,0.0,-0.09960556151928325,0.16436689516009376,0.5188284518828452,0.6800381261150541,0.0,239
11,train,blind,0.0,0,0.4288286743681341,0.0,0.0,0.0,0.0,0.016500639814930232,1.5944695525089567,1.5944695525089567,0.0,-0.19588029303263055,0.26603163298614196,0.3472803347280335,1.5944695491473673,0.0,239
12,train,blind,0.0,0,0.4634686679649094,0.0,0.0,0.0,0.0,0.017344345467235255,1.6925732625578238,1.6925732625578238,0.0,-0.21023270761385457,0.31146324816760146,0.3263598326359833,1.6925732572361638,0.0,239
13,train,blind,0.0,0,0.00864344554228482,0.0,0.0,0.0,0.0,0.018974176923662548,1.7867278982904666,1.7867278982904666,0.0,-0.2071472409970875,0.18448618653372503,0.39748953974895396,1.7867278926594587,0.0,239
14,train,blind,0.0,0,0.16342433874363083,0.0,0.0,0.0,0.0,0.01988814362991118,1.8863450303736091,1.8863450303736091,0.0,-0.21837146175046154,0.21003590610997358,0.3389121338912134,1.8863450146361154,0.0,239
15,train,blind,0.0,0,0.031455413804247795,0.0,0.0,0.0,0.0,0.020824051345211442,1.9496188926896292,1.9496188926896292,0.0,-0.22349116663118404,0.1849906525416184,0.3472803347280335,1.9496188902204872,0.0,239
16,train,blind,0.0,0,0.16730015471176524,0.0,0.0,0.0,0.0,0.021039031586262972,1.982710935081897,1.982710935081897,0.0,-0.22142315086878586,0.11326745600759666,0.4602510460251046,1.9827109344152136,0.0,239
