A,arm,b0,beta_cos,clipped,corr_frac,cr,fit_gain,kind,load,pred_err,q_loss,resid_after,reward,sat,sigma,trust,v_out
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9784722222222222,nan,ladder,0.0,nan,0.14438330030143262,0.0,-0.02928353194920924,0.0,0.0,nan,0.002441077441077441
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9784722222222222,nan,ladder,0.0025878029199991677,nan,0.14318594824191944,0.0020702424716994806,-0.029238439361468353,0.0,0.5,nan,0.002483164983164983
0.2608965189707507,oracle,-0.02928353194920924,0.03610507540482407,0.0,0.4593749897347556,0.9784722222222222,-1.5313128421587558,ladder,0.002702099053240501,0.0,0.14425046786140674,0.00021616800789536268,-0.029278050434953216,0.0,0.5,0.9000000357627869,0.002441077441077441
0.2608965189707507,pact,-0.02928353194920924,0.03817370578019311,0.0,2225409.388951209,0.9791666666666666,-1.5767414298089635,ladder,0.0026599714988143498,0.0013938387483487227,0.14417054024457204,0.0013487994788060102,-0.02928206674148228,0.0,0.5,0.8654344336957567,0.002483164983164983
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.9784722222222222,nan,ladder,0.005044593202861039,nan,0.1424093449498405,0.004035674784289888,-0.029233830631635968,0.0,1.0,nan,0.002504208754208754
0.2608965189707507,oracle,-0.02928353194920924,0.035865816067154,0.0,0.45937498712705244,0.9784722222222222,-1.5203026688861427,ladder,0.00537586290806947,0.0,0.14411997396480453,0.0004300691508391334,-0.029272716125539652,0.0,1.0,0.9000000357627869,0.002441077441077441
0.2608965189707507,pact,-0.02928353194920924,0.04571051150051062,0.0,4329187.656651055,0.9791666666666666,-1.6130719735112506,ladder,0.005250386250814485,0.002756228342517236,0.14409188476982052,0.002668687236714757,-0.029296408668550218,0.0,1.0,0.8654339772649109,0.002504208754208754
0.2608965189707507,blind,-0.02928353194920924,nan,0.0,nan,0.8368055555555556,nan,ladder,0.051376367747639054,nan,0.22004263930682832,0.041101096783118705,-0.042225309279011074,0.03449074175829689,2.0,nan,0.060122053872053875
0.2608965189707507,oracle,-0.02928353194920924,0.036866068266115486,0.0,0.4593749876651499,0.9784722222222222,-1.4887264476099518,ladder,0.010642184144739355,0.0,0.1438658953822119,0.0008513749603826584,-0.029262482077455784,0.0,2.0,0.9000000357627869,0.002462121212121212
0.2608965189707507,pact,-0.02928353194920924,0.09508805216540471,0.0,7456812.972262576,0.9756944444444444,-1.6060619011138746,ladder,0.010755080284686377,0.005651559217606443,0.14458259367664325,0.00542288037502519,-0.02941410841855631,0.0,2.0,0.8653583498878612,0.003177609427609427
0.2608965189707507,blind,-0.02928353194920924,nan,0.004976852000173595,nan,0.7305555555555555,nan,ladder,0.09711156323780618,nan,0.29835432971693937,0.07753179249373324,-0.05467739630556236,0.119212966474394,3.0,nan,0.11071127946127947
0.2608965189707507,oracle,-0.02928353194920924,0.037075724627356976,0.0,0.4593749869200918,0.9784722222222222,-1.4460583860196898,ladder,0.015797398646446935,0.0,0.14362229889632602,0.0012637922288523857,-0.02925290838212843,0.00011574074419008361,3.0,0.9000000357627869,0.002462121212121212
0.2608965189707507,pact,-0.02928353194920924,0.09765000924776865,0.0,12169888.22638508,0.9729166666666667,-1.3808444091603935,ladder,0.016989747654865064,0.009185234440375703,0.14592460649430009,0.00876278239846013,-0.029673237163463866,0.0010416666977107526,3.0,0.8654125027358532,0.004208754208754209
0.2608965189707507,blind,-0.02928353194920924,nan,0.008680555814256271,nan,0.6416666666666667,nan,ladder,0.1451249191377618,nan,0.3912339305413707,0.11574001337565455,-0.06831012917721702,0.1990740794274542,6.0,nan,0.15258838383838386
0.2608965189707507,oracle,-0.02928353194920924,0.04887312561752171,0.0,0.45937498869995275,0.9791666666666666,-1.2921510162950856,ladder,0.030465570870961124,0.0,0.14294149853242935,0.0024372464628235157,-0.029225060051972084,0.0009259259535206689,6.0,0.9000000357627869,0.002462121212121212
0.2608965189707507,pact,-0.02928353194920924,0.11297386447355771,0.0,28043961.368216466,0.9020833333333333,-0.31637848123290396,ladder,0.06165850980761055,0.02457069518671536,0.165144357303752,0.025488424773751225,-0.03276372687368695,0.026967593396289482,6.0,0.864475182381769,0.01071127946127946
