A,arm,b0,beta_cos,clipped,corr_frac,cr,explained,fit_gain,kind,load,load_pu,pred_err,q_loss,resid_after,reward,sat,sigma,trust,v_out
0.2608965189707507,blind,-0.031327256580115044,nan,0.0,nan,0.8729166666666667,nan,nan,ladder,0.0,0.0,nan,0.16258781477584028,0.0,-0.031327256580115044,0.0,0.0,nan,0.013089225589225588
0.2608965189707507,blind,-0.031327256580115044,nan,0.0,nan,0.8729166666666667,nan,nan,ladder,0.00513238460069374,0.004105907877362035,nan,0.15669292871970966,0.004105907864676479,-0.03099185885762759,0.0,1.0,nan,0.013047138047138045
0.2608965189707507,oracle,-0.031327256580115044,0.013569072315011808,0.0,0.899999978666753,0.8729166666666667,1.0,-7.010286047123918,ladder,0.006478218857387851,0.005182575352030483,0.0,0.16163715940311388,0.0005182576754832111,-0.03126964296514554,0.0,1.0,0.9000000357627869,0.013089225589225588
0.2608965189707507,pact,-0.031327256580115044,0.21469218355099048,0.0,0.8017976450621038,0.8729166666666667,0.3690236350000822,-3.3919540113913778,ladder,0.006019675147129849,0.0048157403965801236,0.003038618370217389,0.1609328386396648,0.003020644608975292,-0.03125975664216399,0.0,1.0,0.8663254508024288,0.013089225589225591
0.2608965189707507,intercept,-0.031327256580115044,-0.8120370476817091,0.0,0.7641301047588799,0.8736111111111111,0.41186327654438204,0.3305916897823206,ladder,0.005939317136733911,0.004751453953984708,0.0027945045601468067,0.1607481493283738,0.0029130212310121413,-0.03123188455268601,0.0,1.0,0.873216783379515,0.01292087542087542
0.2608965189707507,blind,-0.031327256580115044,nan,0.0,nan,0.8729166666666667,nan,nan,ladder,0.008476502445722013,0.006781202248260519,nan,0.1533640564249961,0.006781202221015152,-0.03082515468171977,0.0,2.0,nan,0.013047138047138048
0.2608965189707507,oracle,-0.031327256580115044,0.1314319622448238,0.0,0.8999999741282647,0.8729166666666667,1.0,-5.174757485417998,ladder,0.012502636116204889,0.010002109408786295,0.0,0.16075793977542022,0.0010002111444232674,-0.031216988097729853,0.0,2.0,0.9000000357627869,0.013068181818181817
0.2608965189707507,pact,-0.031327256580115044,0.21691069743753058,0.0,0.777453067675603,0.8715277777777778,0.36445461437584215,-2.365321792582593,ladder,0.010931464485278437,0.008745171995817537,0.005557953708431443,0.1596160027608791,0.005500491091531027,-0.03122227967129723,0.0,2.0,0.8658619730629855,0.013299663299663301
0.2608965189707507,intercept,-0.031327256580115044,-0.7956018634761374,0.0,0.7641489740554562,0.8763888888888889,0.4217338882212053,0.3183849329668899,ladder,0.010760063261252778,0.008608051078572822,0.004977744227199566,0.15961875412415696,0.005212264193273618,-0.03118374515141617,0.0,2.0,0.873216783379515,0.012815656565656567
0.2608965189707507,blind,-0.031327256580115044,nan,0.0,nan,0.8381944444444445,nan,nan,ladder,0.02045211983467223,0.01636169678651211,nan,0.16283175833437763,0.01636169671641028,-0.03225387426164617,0.0037037038140826754,3.0,nan,0.021422558922558923
0.2608965189707507,oracle,-0.031327256580115044,0.19699276689250636,0.0,0.8999999726092122,0.8729166666666667,1.0,-4.345503167600557,ladder,0.01812930211518291,0.014503442516080314,0.0,0.15994655817253983,0.001450344543306967,-0.031168393120523257,0.0,3.0,0.9000000357627869,0.013068181818181817
0.2608965189707507,pact,-0.031327256580115044,0.25312901085198974,0.0,0.7804814235333684,0.8638888888888889,0.3353221445359664,-1.368952791362123,ladder,0.015124562086931014,0.012099650269067928,0.008042369592708888,0.15894616866675465,0.007879220435693748,-0.031240554016033033,0.0,3.0,0.8655886999952297,0.013930976430976433
0.2608965189707507,intercept,-0.031327256580115044,-0.7851851974303524,0.0,0.5062889564918184,0.8423611111111111,0.1667747628341435,0.11154166922184205,ladder,0.022754100213074304,0.018203281209479706,0.015167433302965508,0.16863271729956494,0.015288818192020494,-0.03250605310873022,0.004398148279223177,3.0,0.873216783379515,0.020896464646464646
0.2608965189707507,blind,-0.031327256580115044,nan,0.0,nan,0.6673611111111111,nan,nan,ladder,0.08593107149483406,0.06874486218450532,nan,0.2364068171544289,0.0687448621432812,-0.04179228936368728,0.11041666990559962,6.0,nan,0.06005892255892255
0.2608965189707507,oracle,-0.031327256580115044,0.19595858381807021,0.0,0.8999999729679876,0.8729166666666667,1.0,-5.272194458517444,ladder,0.032923613094813696,0.02633889190828869,0.0,0.15781189292497377,0.0026338897924375717,-0.0310414206003515,0.0003472222325702508,6.0,0.9000000357627869,0.013068181818181817
0.2608965189707507,pact,-0.031327256580115044,0.1692627182010862,0.0,0.8051044916245026,0.85,0.3328602791466585,-1.3439445012206206,ladder,0.031942799770802645,0.025554241412280337,0.017048249482407605,0.16173319136179592,0.016618505972746788,-0.03177434484165209,0.004282407524685065,6.0,0.8642692446398238,0.01645622895622896
0.2608965189707507,intercept,-0.031327256580115044,-0.7932870467917786,0.0,0.12302046578570584,0.6590277777777778,0.0006283715086830011,0.03827476996731194,ladder,0.10447405523163601,0.08357925036417933,0.0835267315445334,0.25502279361965846,0.0835511231409829,-0.04472715522346399,0.13414352245421873,6.0,0.873216783379515,0.07710437710437709
