episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
10,eval,pact,3.0,0,0.3612674953427315,0.03193666532660013,0.03992082937943888,0.0034867504525882926,0.0,0.0062398628534351686,0.41163559912637687,0.40630523255679396,-0.09274683057386078,173612.35989801254,0.22952195303709438,149.5277545362337,0.02326085147833662,2499.0,0.0,969.9163179916318,0.0,0.990772450194698,0.9000000000000004,0.8916951840642107,0.6423200908622579,0.38902415618524055,0.008744471719103825,0.022507572855905603,-0.08268287986554371,0.3929250665652339,0.1799163179916318,0.4063052323016768,0.0,239
11,train,pact,3.0,0,0.501210307838382,0.1073738369328361,0.13421728927298096,0.06973500874002608,0.0,0.015996699555091184,0.7623774783381857,0.7651097446555373,0.09381277522532012,4916.435322398421,0.7019266025416522,12.064225717817889,0.05976935292333053,2737.0,0.0,1082.0,0.0,0.9814999500079135,0.9000000000000004,0.883349936626945,0.8754038856169525,0.48121138082603276,0.05793882608413696,0.057856443530985124,-0.10077769473593978,0.1387092684163814,0.4309623430962343,0.765109745891127,0.0,239
12,train,pact,3.0,0,0.0012663892698259907,0.0003763344213751312,0.00047041802682546574,0.0,0.0,0.01567837505145427,0.78766735945536,0.7877639571368444,0.5394069926509298,603.1531034972378,0.8684073090553284,7.134000778198242,0.010603309296221067,2975.0,0.0,1082.0,0.0,0.9905845702442664,0.9000000000000004,0.8915260865598543,0.20219142812900892,0.17722930926135982,0.009906026981978127,0.009517050734548206,-0.10766640010707568,0.16799797134525168,0.4225941422594142,0.7877639578466685,0.0,239
13,train,pact,3.0,0,0.5019918540521879,0.11902251713071103,0.14877813708365134,0.0829846605845575,0.0027894003620706344,0.01712737094404402,0.8171180190526292,0.8254888978588032,0.6770650569863897,776.455294684885,0.6727133079053966,2.4751689917871644,0.05834887257804432,3213.0,0.0,1082.0,0.0,0.9913310999650835,0.9000000000000004,0.8921979690695407,0.7704139228271696,0.5102405043749763,0.0017216879558483405,0.059171470755489085,-0.10959088470345002,0.14923291492329152,0.37656903765690375,0.8254888976080431,0.0,239
14,train,pact,3.0,0,0.24477056702595276,0.05716860898422333,0.07146075720880754,0.03626220451987438,0.0013947001810353172,0.017121466103196925,0.835311839395986,0.8442626200211099,0.594134331622383,1114.5405613089206,0.3562887365847951,4.734647217654783,0.047814724412571376,3451.0,0.0,1082.0,0.0,0.9915537325408169,0.9000000000000004,0.8923983356942692,0.9196346413924906,0.4019733547938279,0.02411873655178207,0.045494184442055434,-0.10611129526407954,0.09750221884113099,0.4602510460251046,0.8442626188787448,0.0,239
15,train,pact,3.0,0,0.32300139925731,0.0790682116489258,0.0988352589519305,0.0585774073540915,0.0013947001810353172,0.017557937025470528,0.8859609925347891,0.8702108554510891,0.5032896454364186,1247.6251241133302,0.4824894969760748,3.838913669271948,0.04195621451927387,3689.0,0.0,1082.0,0.0,0.9914957499404332,0.9000000000000004,0.8923461527006397,0.44156909498312225,0.4840305154510691,0.002432542607957479,0.04555575923942917,-0.10944480155529114,0.10650437428680105,0.40585774058577406,0.8702108499933379,0.0,239
16,train,pact,3.0,0,0.3028837280172224,0.08376060067984094,0.10470074535942141,0.05997210765982273,0.004184100543105951,0.019160848709064923,0.8955426849580709,0.9255203359047239,0.5802040083887188,1796.9977250996992,0.5394159039194115,7.220390684435058,0.05779361201325533,3927.0,0.0,1082.0,0.0,0.9934181790471576,0.9000000000000004,0.8940763396199278,1.1289980034232645,0.5232541750612609,0.03575225907734761,0.053559264304529425,-0.11571302546393965,0.13427158615443133,0.200836820083682,0.9255203442337002,0.0,239
17,train,pact,3.0,0,0.33479187858415665,0.09032712211156196,0.11290889564026284,0.06903765871185638,0.0027894003620706344,0.017206023918721964,0.9187010723676642,0.8822241790873236,0.4695710986229166,1756.9146294374345,0.46348312737178604,6.59318450804036,0.04866716925251574,4165.0,0.0,1082.0,0.0,0.9919594818079321,0.9000000000000004,0.8927635156459888,0.436646632858519,0.4827090339983461,0.004195501067148841,0.052652811576397,-0.10880449643062777,0.0898947635349309,0.33472803347280333,0.8822241788065356,0.0,239
18,train,pact,3.0,0,0.07600188859598127,0.024245368177704434,0.030306708512280504,0.0034867504525882926,0.019525802472146483,0.019645104500383263,0.9430376563112107,0.9622902734259681,0.22457702514017974,2274.8201500800865,0.28921676444271616,1.6756713988890708,0.06024256764149301,4403.0,0.0,1082.0,0.0,0.993780184989195,0.9000000000000004,0.8944021445936737,0.28513474776933295,0.29054055923559097,0.055180882570796654,0.05509690676521604,-0.11726243351710701,0.1212121212121212,0.18828451882845187,0.9622902775380129,0.0,239
19,train,pact,3.0,0,0.4941819601855557,0.15706728856341945,0.19633409631382295,0.1269177158507343,0.008368201086211903,0.019264301291966976,0.9820989140905596,0.9809808090142126,0.44857191060626855,2034.725750911186,0.3862111977170997,4.472602709566699,0.08293449229786803,4641.0,0.0,1082.0,0.0,0.9930693596975574,0.9000000000000004,0.8937624051979894,0.8708250229334484,0.5424107986695947,0.07395155495032668,0.08291708949220729,-0.11799294862395253,0.10016482819830103,0.22594142259414227,0.9809808103659637,0.0,239
20,train,pact,3.0,0,0.06283616020874398,0.021412542581205816,0.026765676790761427,0.0020920502715529757,0.0020920502715529757,0.019602795131504536,0.9720466180575942,0.9856662638017822,0.3723170575237673,2737.4344548819954,0.03938410594810003,10.088652178333394,0.02702417943254503,4879.0,0.0,1082.0,0.0,0.9939047307648918,0.9000000000000004,0.894514232250437,0.916436475522396,0.2547181915819887,0.013771855892331968,0.025058395106045364,-0.12111301017228901,0.12869278559655128,0.17573221757322174,0.9856662625045312,0.0,239
21,train,pact,3.0,0,3.583932445953487e-06,8.192249399874842e-07,1.0240310303785032e-06,0.0,0.0,0.019779031833236312,0.9785067538836012,0.9788758206068222,0.4857778407040999,2888.063051614801,0.0504559688270092,11.0880126953125,0.0003701514790207123,5117.0,0.0,1082.0,0.0,0.9933609835273551,0.9000000000000004,0.8940248594124447,17.669093747797042,-18.41088539885448,0.0003196795703513208,0.000330664209404592,-0.11954338094300707,0.11043489286167116,0.14225941422594143,0.9788758241196799,0.0,239
22,train,pact,3.0,0,0.4417291495469365,0.13947621996087198,0.17434526411348258,0.12133891562537669,0.009762901204899265,0.01986311873514595,1.014480122711868,1.0005287307326265,0.309557677835039,3295.6325898110617,0.14364492779458332,6.600344685829833,0.09872989869134882,5355.0,0.0,1082.0,0.0,0.994284588921519,0.9000000000000004,0.8948561105269268,0.7385841669461356,0.41920119602526373,0.057497050810718174,0.09601377762433251,-0.12017772009808807,0.12222644858628125,0.19246861924686193,1.0005287296407848,0.0,239
23,train,pact,3.0,0,0.21976545920194163,0.06732688300839088,0.08415859896584563,0.0425383552098374,0.003486750390240338,0.019063611477847252,0.9942343932066003,0.9580672939452167,0.3545981194184914,3588.8545963814067,0.07011951593424985,8.905948297249223,0.04814400165522019,5593.0,0.0,1082.0,0.0,0.9926285200039213,0.9000000000000004,0.8933656467553462,0.3695395675464997,0.38461756656108437,0.011236821050117687,0.049735030272603425,-0.11749627682522182,0.1444148598960315,0.11715481171548117,0.9580672924488575,0.0,239
24,train,pact,3.0,0,0.496713411596384,0.16290915223855573,0.20363642800012147,0.11924686516677985,0.009065551176729561,0.01929994588367111,0.9331499321939556,0.9435673433367677,0.40728503378365327,3457.7406562581723,0.3170260192405542,5.883737348362991,0.07588910107270944,5831.0,0.0,1082.0,0.0,0.994056933594548,0.9000000000000004,0.8946512239248683,0.9621698896855869,0.5904361988252168,0.0700710961994316,0.07487890418525396,-0.12967993749823875,0.2509192341828325,0.02510460251046025,0.9435673459648312,0.0,239
25,train,pact,3.0,0,0.00010017924373394666,2.8862643695414986e-05,3.6078304170229506e-05,0.0,0.0,0.02102447527550379,1.0193184394716717,1.0356412001234716,0.4808049738157743,3926.2374425912003,0.22278393805027008,17.394447326660156,0.015082751808587704,6069.0,0.0,1082.0,0.0,0.9937254200420619,0.9000000000000004,0.894352848060959,67.67324569374163,-75.75696535527703,0.011862178106796285,0.013445138610888733,-0.12558001252648898,0.13896285025992147,0.10460251046025104,1.0356411987445449,0.0,239
26,train,pact,3.0,0,0.04457112279658256,0.01660084874633696,0.020751059542421766,0.0006973500905176586,0.0006973500905176586,0.019665278934690493,0.964368397720688,0.950283368262287,0.5154381991056218,3806.917979986598,0.1768101822958955,15.159450118013007,0.013069334460463525,6307.0,0.0,1082.0,0.0,0.9935943529196863,0.9000000000000004,0.8942348952073931,0.223910307177658,0.21971046320959886,0.00013769218487848573,0.013395715647070327,-0.1181271477334206,0.16051730696082164,0.12552301255230125,0.9502833719454453,0.0,239
27,train,pact,3.0,0,0.24477059851891544,0.07429232387856162,0.09286539821622374,0.06345885811241102,0.0020920502715529757,0.019029085142498983,0.9695511628643738,0.9370792097875763,0.12572703508964145,3215.92228053903,0.267858719554531,1.9555720549747035,0.05430334228944329,6545.0,0.0,1082.0,0.0,0.9926664854193332,0.9000000000000004,0.8933998266523353,0.3862993251042017,0.4076589547590269,0.018195919890711006,0.05599960590962118,-0.11412163062220675,0.1100545200963611,0.2384937238493724,0.9370792153598769,0.0,239
28,train,pact,3.0,0,0.3028837280172224,0.09689971598112546,0.12112463755856043,0.09693166233256272,0.006276150814658927,0.020254948572937602,0.9167441194526321,0.9520119283987388,0.4730394547454483,2829.7489519318774,0.5371009559062734,7.001360412671477,0.06673719516904658,6783.0,0.0,1082.0,0.0,0.9933029470583385,0.9000000000000004,0.8939726345209896,1.0542332157693737,0.5177287652133804,0.04001325293592064,0.06260097915283307,-0.11641672985680389,0.10206669202485101,0.26778242677824265,0.9520119260363653,0.0,239
29,train,pact,3.0,0,0.37911919344205136,0.10337473756929487,0.12921841438715642,0.07391910934547999,0.00976290126724722,0.019015304956616342,0.9155583682169974,0.9151345414097838,0.2504126051729194,2651.7280794407034,0.2786066093653534,6.346371901085187,0.08399623825514853,7021.0,0.0,1082.0,0.0,0.9925895156221909,0.9000000000000004,0.893330541614708,0.7252889032012845,0.34336552498456996,0.03967056723161676,0.0809561855989707,-0.11436105982009319,0.13148218587549132,0.18410041841004185,0.91513454049637,0.0,239
30,eval,pact,3.0,0,0.4977520082539135,0.17389791563679816,0.2173723812965702,0.10808926403023708,0.0,0.016881687356213645,0.6064000024955143,0.5463542883366221,0.3876562616690432,9960.889854782296,-0.474456172046801,21.425742362832423,0.07777224959626357,7259.0,0.0,1082.0,0.0,0.9975756351917857,0.9000000000000004,0.8978180468830603,0.7224259018092452,0.6054041971343134,0.07555072876409842,0.08135516101019029,-0.06980695062284477,0.09433244579688096,0.12133891213389121,0.5463542878138037,0.0,239
31,eval,pact,3.0,0,0.4417291690690918,0.15471502168879261,0.19339376587857138,0.154114369380923,0.0,0.017477285179258888,0.5999476403372058,0.5859457319251663,0.5540426506906374,83247.41519024581,-0.557615757612005,55.939296866061795,0.03921622989473233,7497.0,0.0,1083.4267782426778,0.0,0.9950622696756818,0.9000000000000004,0.8955560194398569,0.7861407010235826,0.8304820322796904,0.03937150752454093,0.04787295806381431,-0.0891883163592617,0.23938126030176238,0.0,0.5859457310634819,0.0,239
32,eval,pact,3.0,0,0.3685238404330022,0.12960205310268233,0.16200255536447863,0.145746168419407,0.0006973500905176586,0.01797962876886254,0.5959249667542749,0.575254299775327,0.46798378224221593,167093.22963519875,-0.44124812635916544,54.66357844843525,0.05511226540891197,7735.0,0.0,1092.0,0.0,0.9932688827544576,0.9000000000000004,0.8939419695522994,0.7295850657075859,0.7305289964843473,0.04145488704865177,0.05648903603856471,-0.07700245862150946,0.1631799163179917,0.0041841004184100415,0.575254300638795,0.0,239
33,eval,pact,3.0,0,0.5018170490880057,0.18459146594795278,0.2307393136178533,0.1297071162751529,0.003486750390240338,0.017964838739001354,0.6011054886185474,0.6077671781743421,-0.1993679558511465,123284.53755883891,-0.36526560159906685,51.76971338982363,0.05668692690296932,7973.0,0.0,1092.0,0.0,0.9931264578298544,0.9000000000000004,0.8938137957491137,0.9987402146601775,0.7058718466790498,0.05135217793285847,0.05517068149124479,-0.09629279778205486,0.2715861544313427,0.0,0.6077671740248277,0.0,239
34,eval,pact,3.0,0,0.5020268853461184,0.17694736801250546,0.22118419480449655,0.12552301629317855,0.0006973500905176586,0.016993495612307823,0.5950821414901621,0.5795032322157377,0.32670933690904075,196777.26768436193,-0.4213164926946911,53.0488213575036,0.051357000644385004,8211.0,0.0,1092.0,0.0,0.9932376828403153,0.9000000000000004,0.8939138899039025,0.9165485607511852,0.7115334508071214,0.011187908550103506,0.05213597779470071,-0.09418027714419476,0.2709521998224927,0.0041841004184100415,0.5795032334496314,0.0,239
35,eval,pact,3.0,0,0.45752091049933935,0.15916111977687145,0.19895138600563522,0.12622036594726052,0.0006973500905176586,0.017439356932969895,0.6098136070133752,0.5893052724116018,0.20704336024718029,192005.83668933055,-0.4265479355052924,49.32742115244207,0.06077497835352892,8449.0,0.0,1092.0,0.0,0.9930754335106168,0.9000000000000004,0.893767866504741,0.8686554306844605,0.6471052317299939,0.016751530004065422,0.06064192166505187,-0.0862663286602126,0.21402307594776215,0.0,0.5893052688768539,0.0,239
36,eval,pact,3.0,0,0.05557844634596492,0.021745589298943095,0.02718198503070841,0.0,0.0013947001810353172,0.017972827347377353,0.5897826137153673,0.5762730309404589,0.5577838149030837,176519.67854341003,-0.4563364426461224,88.80461733510803,0.01935825714947184,8687.0,0.0,1127.5439330543934,0.0,0.9948600258787307,0.9000000000000004,0.8953740043121402,0.5178162996808002,0.48072731333940033,0.008726761306336681,0.018341352751529212,-0.07725690751994498,0.16102447064790168,0.012552301255230125,0.5762730322598246,0.0,239
37,eval,pact,3.0,0,0.24477056702595276,0.08349078987917116,0.10436348105129536,0.050906556607789075,0.0006973500905176586,0.017969639488655653,0.6030035673574423,0.5929694193177643,0.3889769317843332,171858.4318449268,-0.5521137540435193,156.44243457427083,0.04357541796057699,8925.0,0.0,1205.602510460251,0.0,0.9931550605775921,0.9000000000000004,0.8938395352293756,0.895129137276216,0.5381990976962566,0.008910716732594469,0.039228298225942766,-0.08210386764696581,0.16837834411056163,0.0,0.592969418880264,0.0,239
38,eval,pact,3.0,0,0.4797851214425007,0.17033962415290532,0.21292451562732068,0.15132496926824418,0.0,0.016804586269865474,0.5992793299912409,0.5477918946343985,0.5090682886883804,225934.53321129706,-0.4743209371662788,100.0623900202029,0.04117880143696699,9163.0,0.0,1243.0,0.0,0.9928047699409549,0.9000000000000004,0.8935242720478249,0.7635171763447401,0.7814243094043506,0.017135602138612583,0.04774584787582129,-0.07773186419914262,0.20147077469253202,0.008368200836820083,0.5477918937364927,0.0,239
39,eval,pact,3.0,0,0.001494409176462552,0.0006938846694781916,0.0008673557960080026,0.0,0.0006973500905176586,0.0196833633915151,0.5800687940050867,0.6220963345411931,0.6569414047765931,170869.93790860355,-0.24769794940948486,76.7763442993164,0.03092398076555906,9401.0,0.0,1315.2008368200836,0.0,0.996077191630168,0.9000000000000004,0.8964694582518175,1.8967847275616205,-0.9311693588648888,0.027382701344585796,0.026439778321660338,-0.08080664941699735,0.1706605807024217,0.0,0.6220963339306396,0.0,239
40,train,pact,3.0,0,0.051011509713621825,0.015495782607339983,0.01936972730154175,0.0020920502715529757,0.0027894003620706344,0.01822844315339737,0.9184711359784195,0.9118405963337072,nan,10566.938895381145,0.24310115831962564,20.228252654295087,5.230194108605092e+31,9639.0,0.0,1419.0,71.98744769874477,0.8520135802828617,0.9000000000000004,0.7668122053146362,0.7462052567989058,-3.375237147511139e+33,0.004714405674385078,0.021327097297707723,-0.11004397707123229,0.10650437428680105,0.3054393305439331,0.9118405970706394,0.0,239
41,train,pact,3.0,0,0.4986505481252782,0.1245340171888331,0.15566751244126306,0.09274756172710881,0.007670850995694244,0.017623906900568486,0.8977262344071057,0.8622641658184419,nan,1923.7942303134807,0.5604349111662749,nan,0.0834343134854588,9877.0,0.0,1419.0,305.0,0.8255901553640804,0.9000000000000004,0.7430311241908053,0.43787639869228756,0.33048038848813166,0.0005021576982168577,0.08408954461166299,-0.10906863057051497,0.09813617344998098,0.41841004184100417,0.8622641652968378,0.0,239
42,train,pact,3.0,0,0.4634686815016611,0.10797074215314519,0.1349634199203701,0.08368201067507516,0.008368201086211903,0.01781213255969332,0.8386012653676037,0.836939506887392,nan,1724.506548382747,0.6378289931239444,nan,0.07900608388831738,10115.0,0.0,1419.0,544.0,0.8252910278332284,0.9000000000000004,0.7427619112086595,0.40236722072660563,0.38575095310593865,0.048512541298155805,0.07981482714562672,-0.10560217276985923,0.11702802079371118,0.3054393305439331,0.8369395082829912,0.0,239
43,train,pact,3.0,0,0.49975553764743685,0.10372017145346796,0.1296502062682654,0.05578800705436882,0.010460251357764879,0.015516332096408538,0.7647355761238721,0.7454120393328089,nan,1237.1203230215415,0.5912394498681424,nan,0.0720082946671134,10353.0,0.0,1419.0,783.0,0.824960210832093,0.9000000000000004,0.7424641683011873,0.680644196988282,0.3426203206294046,0.038982082424419265,0.0701284811103319,-0.10657832637654106,0.2126283758082921,0.11297071129707113,0.7454120359063313,0.0,239
44,train,pact,3.0,0,0.501946137909228,0.11282165140770782,0.14102705602505072,0.07391910953252386,0.011157601448282537,0.016971122876304555,0.8332222771819167,0.8274826496590132,nan,1036.890457727919,0.5870287449539456,nan,0.07470432728252308,10591.0,0.0,1419.0,1022.0,0.8252503462915142,0.9000000000000004,0.7427252892669773,0.5129824196280958,0.34476584436985247,0.020834221795666963,0.07489492620583078,-0.10725531521479567,0.11690122987194118,0.42677824267782427,0.8274826504626978,0.0,239
45,train,pact,3.0,0,0.3109929788440381,0.07030226393145773,0.0878778245344441,0.052998606816994094,0.012552301629317855,0.017393356438036463,0.8266885364155391,0.828320092735929,nan,1139.2465536843783,0.559594420708373,nan,0.05698871028036752,10829.0,0.0,1419.0,1261.0,0.825570817522424,0.9000000000000004,0.7430137178887882,0.64337017774185,0.3184416060297608,0.01845862729075764,0.054399438065020796,-0.1098774459919291,0.15734753391657158,0.35564853556485354,0.8283200910630975,0.0,239
