episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,resets,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
38,eval,pact,3.0,0,0.41162969583010295,0.05467033680440969,0.09111722327126935,0.0,0.0,0.008370795659331224,0.9361683615331371,0.9432288421995969,0.2498683160829463,41177.422520593616,-0.0025029918295818394,49.25159582034315,0.014688545752513498,9163.0,0.0,8901.0,0.0,0.0,0.9873870111160199,0.9000000000000004,0.8886482895168799,0.7394175670510413,0.754520877224091,0.0020867934837550312,0.016191902192441987,-0.15234812921175103,0.6799608296982106,0.04602510460251046,0.9432288383622677,0.0,239
39,eval,pact,3.0,0,0.07326335892778778,0.007290587734631223,0.012150979227733226,0.0,0.0,0.009079837762442842,0.9370283399665705,0.9579295254152689,0.128059697840129,38950.98189886245,-0.09218356053824205,27.513231520872235,0.01206075315018843,9401.0,0.0,9139.0,0.0,0.0,0.9887225090459799,0.9000000000000004,0.8898502331398521,1.0216888491719178,0.5878777486524223,0.009869872394206357,0.009914104381057913,-0.15237199308012972,0.6036677646220957,0.15481171548117154,0.957929525453224,0.0,239
40,train,pact,3.0,0,0.0007224776207325224,0.00016943074492758352,0.0002823845684684464,0.0,0.0,0.014305252589628288,1.5844917935806337,1.5870446525358255,-0.6821077010247498,2218.0944047871994,-0.024637721478939056,12.717304229736328,0.0076580276580285826,9639.0,0.0,9377.0,0.0,0.0,0.9796123250259017,0.9000000000000004,0.8816510786820655,0.36222113265762096,-0.17788924089242908,0.00617333501448027,0.006007164107244969,-0.21593649868868173,0.5029229353986766,0.19246861924686193,1.587044650360644,0.0,239
41,train,pact,3.0,0,0.21976545920194163,0.04969782320029739,0.08282970050846362,0.01996957039982704,0.0,0.014605634366493345,1.568996159601411,1.573772530924825,-1.2205826869647498,1156.673460126422,0.11924947548860286,8.487253916064066,0.029967355802297205,9877.0,0.0,9615.0,0.0,0.0,0.9906243195593607,0.9000000000000004,0.8915618613175268,0.3786835010793034,0.4089889237162163,0.0010064044886169677,0.03200881871081612,-0.21217007792928816,0.446333719101457,0.22594142259414227,1.5737725324974825,0.0,239
42,train,pact,3.0,0,0.3575846668143823,0.0716163193415946,0.11936052422080065,0.02149106188049875,0.0,0.01440957844623649,1.5379044545744254,1.567447288016395,0.43271468299203336,1160.6382589300308,0.5291300154131326,1.1658018770078236,0.05946109371618309,10115.0,0.0,9853.0,0.0,0.0,0.9903113006547903,0.9000000000000004,0.8912801460740956,0.48777129201013303,0.5076960807880623,0.05558673059067098,0.060568815673931374,-0.21532899790063353,0.4829520163803081,0.2217573221757322,1.5674472932902048,0.0,239
43,train,pact,3.0,0,0.4934485925616751,0.10856238559994624,0.18093729735301928,0.037656904139778104,0.0,0.015365601147069093,1.6166060489590697,1.6286273533829088,0.557657651447352,1170.3341503701947,0.7019805585240719,1.168311415606463,0.06461701361524821,10353.0,0.0,10091.0,0.0,0.0,0.9903013262289837,0.9000000000000004,0.8912711662228636,0.7126310724119873,0.566747662513869,0.1084896760682265,0.06474285706425685,-0.2223910119672757,0.5202231520223153,0.18410041841004185,1.628627356071015,0.0,239
44,train,pact,3.0,0,0.5015085098678519,0.1056716387286858,0.17611938695962365,0.03081019447188996,0.0,0.01586706599290775,1.6150616327589027,1.6225196060775213,0.6893738326168459,983.9772407819038,0.6933876080243657,2.110384154020493,0.06113702180370626,10591.0,0.0,10329.0,0.0,0.0,0.9896661307522443,0.9000000000000004,0.890699507551712,0.84571736648384,0.49443925464609095,0.1233659194639096,0.06127141610910204,-0.20332107571869174,0.3076649158728746,0.3389121338912134,1.6225196105602182,0.0,239
45,train,pact,3.0,0,3.583932445953487e-06,6.280028493587848e-07,1.0466713141201836e-06,0.0,0.0,0.015380348636141381,1.624277138310995,1.6269442676001513,0.5273815590467413,1120.7150061699137,0.6683847308158875,7.262630939483643,0.017951270063562615,10829.0,0.0,10567.0,0.0,0.0,0.9903919412501188,0.9000000000000004,0.8913527263258292,961.6685106939735,-1073.5453717829646,0.015585358963418705,0.016058240655983047,-0.21752460530035156,0.46034006943826233,0.19665271966527198,1.6269442681809507,0.0,239
46,train,pact,3.0,0,0.2531380511106846,0.0622866224592479,0.10381102947198939,0.042791935938671546,0.0001901863883229978,0.015299445425382344,1.5807182773885369,1.6001708644703343,0.4723187878291477,1303.7785131223031,0.3765436062690603,9.171440972194512,0.05445170412317433,11067.0,0.0,10805.0,0.0,0.0,0.9906002285590232,0.9000000000000004,0.8915401871733087,0.6851219115670659,0.294941870477347,0.018920858606829176,0.05334220139142204,-0.21772792201898045,0.5188581263538977,0.13389121338912133,1.6001708669428505,0.0,239
47,train,pact,3.0,0,0.11611346518928935,0.02924910546400086,0.048748505624762135,0.006656523466609013,0.0,0.015074745194682517,1.6279902238726116,1.633882922358094,0.35320179170644433,912.1364306844927,0.4345617784366448,4.755041198002244,0.0312122730574781,11305.0,0.0,11043.0,0.0,0.0,0.9897304354352432,0.9000000000000004,0.890757375182467,0.6624367645301913,0.26824270444435094,0.013597465469879885,0.029904447480106813,-0.2158723172926044,0.4439894358883053,0.2301255230125523,1.633882932293592,0.0,239
