episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,0.0,0,2.149352706407653e-05,0.0,0.0,0.0,0.0,0.01546306024543224,1.6076082063519306,1.6076082063519306,0.0,-0.20072104051940393,0.30134425353868066,0.39748953974895396,1.6076082159684595,0.0,239
1,eval,blind,0.0,0,0.49975553764743685,0.0,0.0,0.0,0.0,0.012829941898101169,1.2054395696857485,1.2054395696857485,0.0,-0.19941400629106995,0.697884210213953,0.09623430962343096,1.2054395680741183,0.0,239
2,eval,blind,0.0,0,0.19920830527869945,0.0,0.0,0.0,0.0,0.01122504316862657,1.0893832473824712,1.0893832473824712,0.0,-0.12782093922989418,0.13089409181281342,0.694560669456067,1.089383246605244,0.0,239
3,eval,blind,0.0,0,0.5016285062847449,0.0,0.0,0.0,0.0,0.01258474829018303,1.1862034084407855,1.1862034084407855,0.0,-0.18472018862706802,0.5990385471378973,0.19246861924686193,1.1862034053671555,0.0,239
4,eval,blind,0.0,0,0.4738973789959445,0.0,0.0,0.0,0.0,0.012227898147970314,1.1615735701437275,1.1615735701437275,0.0,-0.17402859839895077,0.5351790854328023,0.2217573221757322,1.1615735715285906,0.0,239
5,eval,blind,0.0,0,0.023700630373153914,0.0,0.0,0.0,0.0,0.01077842696230843,1.0587569465198277,1.0587569465198277,0.0,-0.12353853156406162,0.0646309979524615,0.8326359832635983,1.0587569455990726,0.0,239
6,eval,blind,0.0,0,0.09350415801189335,0.0,0.0,0.0,0.0,0.01059406265522895,1.0371423094342442,1.0371423094342442,0.0,-0.12305976279311229,0.017537612392059112,0.8075313807531381,1.037142311519946,0.0,239
7,eval,blind,0.0,0,0.022306911853421187,0.0,0.0,0.0,0.0,0.01068922955831162,1.0442300376532965,1.0442300376532965,0.0,-0.11520367804297438,0.0,1.0,1.0442300400648357,0.0,239
8,eval,blind,0.0,0,0.4532820635336884,0.0,0.0,0.0,0.0,0.012028118104490775,1.1490441525830384,1.1490441525830384,0.0,-0.15954714201598785,0.3985281462357935,0.37656903765690375,1.149044154561728,0.0,239
9,eval,blind,0.0,0,0.4918546215835647,0.0,0.0,0.0,0.0,0.012532194758761503,1.17866099180038,1.17866099180038,0.0,-0.18566382502475548,0.5715006380011278,0.21338912133891214,1.1786609960618326,0.0,239
10,eval,blind,0.0,0,0.4595581971330663,0.0,0.0,0.0,0.0,0.01124117460499311,1.0793419719739938,1.0793419719739938,0.0,-0.12619987146442577,0.0066470815157719815,0.8661087866108786,1.079341968493242,0.0,239
11,train,blind,0.0,0,0.3926658787366775,0.0,0.0,0.0,0.0,0.01653242329618734,1.6615935541595874,1.6615935541595874,0.0,-0.19918014202279175,0.22543695658624885,0.45188284518828453,1.661593556325054,0.0,239
12,train,blind,0.0,0,0.07879225602993307,0.0,0.0,0.0,0.0,0.01807484437154302,1.7670116055460654,1.7670116055460654,0.0,-0.2144722359042047,0.2735095996913855,0.38493723849372385,1.767011608777102,0.0,239
13,train,blind,0.0,0,0.00484126768363289,0.0,0.0,0.0,0.0,0.01868053900553342,1.832863329843497,1.832863329843497,0.0,-0.20653747765526792,0.09789608000237393,0.48535564853556484,1.8328633315862717,0.0,239
14,train,blind,0.0,0,0.08452669602320004,0.0,0.0,0.0,0.0,0.01881861966882665,1.8282649522047163,1.8282649522047163,0.0,-0.22385161536291395,0.2887919522834506,0.33472803347280333,1.8282649534142439,0.0,239
15,train,blind,0.0,0,0.4532820462560594,0.0,0.0,0.0,0.0,0.018214900276495073,1.809705199058086,1.809705199058086,0.0,-0.23628455033343285,0.4537226623935428,0.27615062761506276,1.8097052112066239,0.0,239
16,train,blind,0.0,0,0.011099790736339269,0.0,0.0,0.0,0.0,0.01824964572788532,1.7901976941519702,1.7901976941519702,0.0,-0.20255437980841848,0.11178373245496898,0.4769874476987448,1.7901976849561965,0.0,239
17,train,blind,0.0,0,0.5020820002191994,0.0,0.0,0.0,0.0,0.017693106650090367,1.7343694206062221,1.7343694206062221,0.0,-0.19355959183258784,0.06059526988931423,0.6276150627615062,1.734369437350657,0.0,239
18,train,blind,0.0,0,0.4671610229562556,0.0,0.0,0.0,0.0,0.016428465678290344,1.6856758589525103,1.6856758589525103,0.0,-0.19461949240718346,0.14433662719962018,0.5230125523012552,1.6856758571921466,0.0,239
19,train,blind,0.0,0,0.3109929788440381,0.0,0.0,0.0,0.0,0.015416375489975619,1.5691994468537334,1.5691994468537334,0.0,-0.22889741499258318,0.5721831508353364,0.15481171548117154,1.5691994468586532,0.0,239
20,train,blind,0.0,0,0.08163405268523204,0.0,0.0,0.0,0.0,0.01511317764693349,1.6051421374955437,1.6051421374955437,0.0,-0.18957124156369173,0.178640315736372,0.497907949790795,1.6051421249286077,0.0,239
21,train,blind,0.0,0,0.3825699220520223,0.0,0.0,0.0,0.0,0.014872365220056293,1.588905247933695,1.588905247933695,0.0,-0.2076591197438353,0.41594706074364224,0.2384937238493724,1.5889052314735477,0.0,239
22,train,blind,0.0,0,0.07326333691171423,0.0,0.0,0.0,0.0,0.015059274786919605,1.5727257544026714,1.5727257544026714,0.0,-0.21279369641872733,0.4924775215881777,0.1589958158995816,1.572725756425144,0.0,239
23,train,blind,0.0,0,0.47694583179846367,0.0,0.0,0.0,0.0,0.013554000991268014,1.500126777832478,1.500126777832478,0.0,-0.20776322115713075,0.5243479034986201,0.1589958158995816,1.500126774857219,0.0,239
24,train,blind,0.0,0,0.19109902345770474,0.0,0.0,0.0,0.0,0.014529144890201141,1.5194290315256958,1.5194290315256958,0.0,-0.2178436434984939,0.59779221935369,0.07531380753138076,1.5194290305262756,0.0,239
25,train,blind,0.0,0,0.00010017924373394666,0.0,0.0,0.0,0.0,0.014737471468575205,1.5771863016623333,1.5771863016623333,0.0,-0.22609914907997125,0.6253301284904597,0.10460251046025104,1.5771863033698639,0.0,239
26,train,blind,0.0,0,0.002674004892043177,0.0,0.0,0.0,0.0,0.014877907820747362,1.5824710741701484,1.5824710741701484,0.0,-0.22690434746761623,0.6341731208641206,0.07112970711297072,1.5824710868217535,0.0,239
27,train,blind,0.0,0,0.0,0.0,0.0,0.0,0.0,0.015670137400017995,1.6071801629525349,1.6071801629525349,0.0,-0.24722371876764807,0.7731386688032287,0.0502092050209205,1.6071801711570803,0.0,239
28,train,blind,0.0,0,0.4934485877536371,0.0,0.0,0.0,0.0,0.015049980152554219,1.557625339869176,1.557625339869176,0.0,-0.2078854532108709,0.42639247455414103,0.24267782426778242,1.5576253484362304,0.0,239
29,train,blind,0.0,0,0.07057713395643153,0.0,0.0,0.0,0.0,0.015935162968824475,1.6155539915651458,1.6155539915651458,0.0,-0.2221526476049863,0.5345559215406985,0.17573221757322174,1.6155539990530123,0.0,239
30,eval,blind,0.0,0,2.1493512025067902e-05,0.0,0.0,0.0,0.0,0.0091476379241015,0.883158334129525,0.883158334129525,0.0,-0.15600503228250892,0.7538799370901212,0.02092050209205021,0.8831583366187306,0.0,239
31,eval,blind,0.0,0,0.49775201144090475,0.0,0.0,0.0,0.0,0.008412252543649976,1.066411819667497,1.066411819667497,0.0,-0.17285582077295858,0.5383839283064779,0.16317991631799164,1.0664118216810126,0.0,239
