episode,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,blind,0.0,0,0.37911919344205136,0.0,0.0,0.0,0.0,0.015591073716955579,0.7830702088866772,0.7830702088866772,0.0,-0.11257227143500684,0.2412831241283124,0.3054393305439331,0.7830702082897724,0.0,239
1,blind,0.0,0,0.05557842856955229,0.0,0.0,0.0,0.0,0.006387997982696197,0.4357123334412794,0.4357123334412794,0.0,-0.08944531162348233,0.47318372004564474,0.0,0.4357123319960192,0.0,239
2,blind,0.0,0,0.5020913164463541,0.0,0.0,0.0,0.0,0.005316771290198779,0.3442545397885175,0.3442545397885175,0.0,-0.049895127338300954,0.03803727653100038,0.7489539748953975,0.34425454030297015,0.0,239
3,blind,0.0,0,0.4769458410955545,0.0,0.0,0.0,0.0,0.006155516039463204,0.4305337546510178,0.4305337546510178,0.0,-0.07831189592321432,0.28147584632940287,0.0,0.4305337539121857,0.0,239
4,blind,0.0,0,0.47389736845189456,0.0,0.0,0.0,0.0,0.0055129480602757455,0.34704392175794146,0.34704392175794146,0.0,-0.059086009575473726,0.14061113224293145,0.6820083682008368,0.3470439209207666,0.0,239
5,blind,0.0,0,0.07326335892778778,0.0,0.0,0.0,0.0,0.006419886815435717,0.4369265852987018,0.4369265852987018,0.0,-0.08241337562620013,0.3618612907315835,0.0,0.436926583809071,0.0,239
6,blind,0.0,0,0.011099790736339269,0.0,0.0,0.0,0.0,0.006287498221339105,0.44183264061746236,0.44183264061746236,0.0,-0.08097816056599957,0.308101939901103,0.0,0.4418326397878694,0.0,239
7,blind,0.0,0,0.15576158431569304,0.0,0.0,0.0,0.0,0.006193645301403548,0.4365275838260371,0.4365275838260371,0.0,-0.0853855627012074,0.37555471028274373,0.0041841004184100415,0.4365275845500016,0.0,239
8,blind,0.0,0,0.49821823029872664,0.0,0.0,0.0,0.0,0.006102038440236113,0.42561519145965576,0.42561519145965576,0.0,-0.07799004426009967,0.2619500443768226,0.11297071129707113,0.4256151912945714,0.0,239
9,blind,0.0,0,0.020964593625584595,0.0,0.0,0.0,0.0,0.006335363504145622,0.4416597803516867,0.4416597803516867,0.0,-0.08091551020304018,0.32090782299987314,0.0,0.441659778132349,0.0,239
