episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,resets,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,0.16342436824145895,0.05223164173098686,0.08705273102820063,0.0342335492123121,0.0,0.016215039491185832,1.5735617973315665,1.596524231354063,0.7525934908445535,12552302515.89557,0.14582342657584027,0.36946974563798146,0.026084913796009333,119.0,0.0,0.0,0.0,0.0,0.9773497648194245,0.7493723849372388,0.7407151246170619,0.4591227917355516,0.5005917307681669,0.0,0.028592713549027638,-0.2155276726508039,0.4772841924092703,0.14225941422594143,1.5965242323062774,0.0,239
1,eval,pact,3.0,0,0.05101152724064263,0.007190601787320801,0.01198433562727191,0.0,0.0,0.0102502823316309,0.6425100066173026,0.7206727006944154,0.42913246117376386,5145.87942670878,0.5011610725434754,2.6252870464923492,0.028920066770396068,357.0,0.0,96.25523012552301,0.0,0.0,0.9962343269312232,0.9000000000000004,0.8966108755087753,0.6053691676879793,0.45314573011799253,0.030321430974958284,0.026737523850425687,-0.08903308142325231,0.06059526988931424,0.7949790794979079,0.7206726986016907,0.0,239
2,eval,pact,3.0,0,0.4859937123801958,0.09358286087157178,0.1559714252580002,0.007797641921242909,0.0,0.00854216182505065,0.5782641240991808,0.6142209621777595,0.5499423263462019,25701.718688709465,0.0311961462692003,98.40249084129493,0.04691773926776884,595.0,0.0,333.0,0.0,0.0,0.9896027680221462,0.9000000000000004,0.8906424666548374,0.8485409445024054,0.555905536878645,0.02796506990746754,0.04633909737434098,-0.11128423167070667,0.4319416006409685,0.18410041841004185,0.6142209581624276,0.0,239
3,eval,pact,3.0,0,0.13356819286291968,0.029079831349305422,0.04846638174624417,0.016356029208733944,0.0,0.010615438713875276,0.5899469627994872,0.6297251173143108,0.5130915682934318,69166.71894612971,0.11737764876133229,143.87712002199564,0.023485116135508258,833.0,0.0,571.0,0.0,0.0,0.9931107043721187,0.9000000000000004,0.8937996206922012,0.7890884760964688,0.3413495638441304,0.006237430204231067,0.022053571212374327,-0.09496305803345753,0.22131220510994393,0.28451882845188287,0.629725114990419,0.0,239
4,eval,pact,3.0,0,0.19920830527869945,0.03635824702178831,0.06059707495704548,0.005325218873043938,0.0,0.00988480154713265,0.6474695271777309,0.644511449661215,0.12149155308492421,237319.2002157427,0.08922199267703089,126.80682140015159,0.02247833733926196,1071.0,0.0,809.0,0.0,0.0,0.9870463512432626,0.9000000000000004,0.8883416999334072,0.556201513137464,0.47066694748133364,0.0044258146513267566,0.022674133186715666,-0.08970670475913059,0.15451497077064602,0.5815899581589958,0.6445114502417687,0.0,239
5,eval,pact,3.0,0,0.0349310103396663,0.0067465774054691644,0.01124429504560486,0.0,0.0,0.009866502693226895,0.6313664445567829,0.6699236863327824,0.2271149609876976,167593.43834989538,0.12314619335918746,31.812441630343514,0.020543968331294765,1309.0,0.0,1047.0,0.0,0.0,0.9948549639729776,0.9000000000000004,0.8953694583980608,0.636083671178604,0.6407883662392299,0.02007167274761643,0.018395592305598837,-0.08518166742664673,0.06335499569720171,0.8158995815899581,0.6699236803674201,0.0,239
6,eval,pact,3.0,0,0.08746963563609224,0.020374122031045702,0.03395686784310916,0.006846709792584056,0.0,0.010582054456672534,0.6142203735507183,0.6563298128638806,0.04643748497987891,109905.25671744246,0.029257446020903948,159.01449014352454,0.02286890318625018,1547.0,0.0,1285.0,0.0,0.0,0.9905667575582799,0.9000000000000004,0.8915100612650356,0.9550676085482501,0.1493118432952374,0.007281693920601685,0.020092444105666116,-0.09538007922915785,0.1788480370337399,0.3472803347280335,0.6563298202116084,0.0,239
7,eval,pact,3.0,0,0.19109902345770474,0.03465187673212324,0.057753123186085914,0.010650437683739921,0.0,0.010293338622188656,0.632731562316667,0.6628939060486511,0.31058351025297054,78143.73224208943,0.007665583296268827,165.8972147179448,0.029891458894301472,1785.0,0.0,1523.0,0.0,0.0,0.9886562183312292,0.9000000000000004,0.8897905766215783,0.9263625273656189,0.27028908379567695,0.007353228332697233,0.02769914799502361,-0.11826277317853129,0.4365411436541144,0.09205020920502092,0.6628939075287177,0.0,239
8,eval,pact,3.0,0,0.24058936510885828,0.041459469416489404,0.06909911107459075,0.008748573862857899,0.0,0.009527568431633474,0.6369930450886363,0.6295499661976324,0.20991182096583075,108674.33525104602,0.013243785904424273,148.1667147361085,0.023794769488955033,2023.0,0.0,1761.0,0.0,0.0,0.9849630349849557,0.9000000000000004,0.8864667041531168,0.5841870188414098,0.47598117512817495,0.003152828950331867,0.024209180953240247,-0.08300191488262536,0.07638208848927266,0.7071129707112971,0.6295499706208245,0.0,239
9,eval,pact,3.0,0,0.4417291495469365,0.08022121256341569,0.13370201325058162,0.0,0.0,0.009717031288502357,0.6070129369467372,0.6306868483581304,0.5741577840499799,95336.73633629706,0.012949099013616943,176.52217783588745,0.03563288632959564,2261.0,0.0,1999.0,0.0,0.0,0.9939116710898268,0.9000000000000004,0.8945204792661148,0.9452686226608882,0.6473412301653749,0.023834821253055423,0.03464422308524221,-0.0912879990041059,0.16908513605744976,0.29707112970711297,0.6306868502137134,0.0,239
10,eval,pact,3.0,0,0.0,0.0,0.0,0.0,0.0,0.011014157327507705,0.6783876304347146,0.6775559491193445,-0.09665478086371801,124880.61565115063,-0.015381590463221073,377.3423767089844,0.007532048476061094,2499.0,0.0,2237.0,0.0,0.0,0.9878632847734076,0.9000000000000004,0.8890769358209986,nan,nan,0.00521881578521312,0.005218815594759603,-0.09943724441657699,0.17404077272322618,0.5481171548117155,0.677555946780819,0.0,239
11,train,pact,3.0,0,0.4288286743681341,0.12749341449902563,0.21248901015134536,0.07873716295763039,0.0003803727766459956,0.018111098978559344,1.594071378518348,1.6721797515657657,0.5690258479010797,7450.646555369868,0.44798413737751075,10.43627132631246,0.08614229274305776,2737.0,0.0,2475.0,0.0,0.0,0.9858946858215532,0.9000000000000004,0.8873052047760417,0.834979718646229,0.41698509372666903,0.03565213474458162,0.08314207295018197,-0.20087352691711977,0.22125285616783882,0.4100418410041841,1.672179747037911,0.0,239
12,train,pact,3.0,0,0.4634686679649094,0.1456920480717957,0.24282006038792206,0.10155952911995444,0.0,0.018118115726499878,1.6874809095550283,1.7349301703804207,0.4632636242581212,3049.3529977199923,0.3260414148973122,6.3855746031805065,0.10619023014795206,2975.0,0.0,2713.0,0.0,0.0,0.994320307815424,0.9000000000000004,0.8948882608732918,0.7494107134469462,0.3843147516732691,0.06323549460752734,0.10272197316256527,-0.20900257681946774,0.2647853052019348,0.3263598326359833,1.7349301626300448,0.0,239
13,train,pact,3.0,0,0.00864344554228482,0.0050065125853743135,0.008344187064440463,0.0,0.0,0.01916300305106899,1.7924173217438255,1.7995019911722159,0.3027068142736307,5426.163376046025,0.2668300911971216,13.883894352234558,0.01403092336597381,3213.0,0.0,2951.0,0.0,0.0,0.9971434207142148,0.9000000000000004,0.897429057494367,0.19206079204151588,0.13039838550487992,0.010085785925926334,0.01309360686453862,-0.20809496971731536,0.1773939879521648,0.39748953974895396,1.7995019887604713,0.0,239
14,train,pact,3.0,0,0.16342433874363083,0.06417967447736807,0.10696611667708757,0.03309243113176593,0.0,0.020550988524933988,1.8909655974001067,1.9208540046065423,0.14704443046737414,6669.700295420372,0.28900116501243545,11.02397602721737,0.06854363464629551,3451.0,0.0,3189.0,0.0,0.0,0.9964435519533676,0.9000000000000004,0.8967991768066853,0.6682013039277009,0.23304559510649447,0.02944493956586465,0.06578807683201764,-0.22236739231150376,0.2217573221757322,0.3263598326359833,1.920854012215058,0.0,239
15,train,pact,3.0,0,0.031455413804247795,0.016819122990458877,0.028031869621939615,0.0007607455532919912,0.0,0.02119146332643521,1.9713304217390435,1.9778991593476618,-0.05623188338541547,9760.378736679524,0.11083953799562973,11.005288818391298,0.02396376555197128,3689.0,0.0,3427.0,0.0,0.0,0.9974058110843642,0.9000000000000004,0.897665209850008,0.4883580649371044,0.15750048940477135,0.011251985661954405,0.022969049621747503,-0.22695565887799915,0.20006528383631558,0.3138075313807531,1.9778991487286577,0.0,239
16,train,pact,3.0,0,0.16730015471176524,0.0724979096389289,0.12082983919715988,0.04621529142726914,0.0009509319416149889,0.021671638572705466,2.0211809494505366,2.026677596269791,0.09784661487005963,11632.758690997647,0.211300284247144,12.936567727491946,0.07711731113890911,3927.0,0.0,3665.0,0.0,0.0,0.9966878554312255,0.9000000000000004,0.8970190528546417,0.5903681347302632,0.22299556026360923,0.03189596464591367,0.07432076684881204,-0.23101930437404655,0.1797382711653165,0.3389121338912134,2.026677594762163,0.0,239
17,train,pact,3.0,0,0.4997555405538623,0.24196958077505715,0.40328259361960445,0.2474324853475124,0.0,0.019002563980598953,2.0285321987822464,1.781466192032004,0.2401462783374547,11769.392226725942,0.14135603787790044,7.763103043185119,0.1009691585543094,4165.0,0.0,3903.0,0.0,0.0,0.9955681425258206,0.9000000000000004,0.896011306401576,0.6828244630746259,0.5854763992969512,0.006672283124533438,0.10736048440098232,-0.23946667831471144,0.5431911926169917,0.13389121338912133,1.7814661880148106,0.0,239
18,train,pact,3.0,0,0.3575846668143823,0.160029095794838,0.26671512860419505,0.19189806132885204,0.0,0.021300044280932788,2.066517423386354,1.9775199443725362,0.2833266208984862,16260.50100516475,0.09591518083550027,18.63757022454649,0.11787030035357096,4403.0,0.0,4141.0,0.0,0.0,0.996921895936942,0.9000000000000004,0.8972296934247516,0.5708068169067672,0.542019779439199,0.10280497698614033,0.12062100914334216,-0.2566961005158415,0.558651592035372,0.04184100418410042,1.977519945110813,0.0,239
19,train,pact,3.0,0,0.009418925725383427,0.007041430871136814,0.011735717544237651,0.0,0.0,0.024476419000352526,2.104434229838798,2.2658062579741536,0.35561305490248374,18063.70227919064,0.13382543441859,4.076282591001758,0.06091624510447226,4641.0,0.0,4379.0,0.0,0.0,0.9989341911411684,0.9000000000000004,0.8990407409029526,0.3984587723170273,0.23023682071332074,0.05806056335568428,0.05530936940608227,-0.26974481594953903,0.4135137541173329,0.09623430962343096,2.265806250907035,0.0,239
20,train,pact,3.0,0,0.2947040708871606,0.1158262681764347,0.1930437570102425,0.09775580097940677,0.0041841004184100415,0.02120953871260658,1.9458575682660026,1.9620922268933332,0.2024838050289633,18096.131055504706,0.16948762647071175,12.29025104804019,0.10582130227752311,4879.0,0.0,4617.0,0.0,0.0,0.9964048066897372,0.9000000000000004,0.8967643133267199,0.6365876057210571,0.28350729565284516,0.045021051891284795,0.1018023627136043,-0.28025268625038485,0.6221252856167842,0.08368200836820083,1.9620922264487421,0.0,239
