episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
11,train,pact,3.0,0,0.4961388843030782,0.12436214805044933,0.15545267407894955,0.08786611103113726,0.0006973500905176586,0.017298790573134677,0.8687876610077575,0.8576863224473957,-0.9889078102801306,4576.498133192501,0.5877787273798029,2.2635573520321226,0.0529337053376062,2737.0,0.0,1423.0,0.0,0.9806455790248376,0.9000000000000004,0.882581007031716,0.7103713921389838,0.5820600471779054,0.004541521133244808,0.05484428218221019,-0.10506649873754366,0.09699505515405096,0.4225941422594142,0.8576863204813576,0.0,239
12,train,pact,3.0,0,0.20738793141458225,0.050233632409129855,0.0627920365070137,0.037656904700909696,0.0027894003620706344,0.017460378959471026,0.8367961722437807,0.8475314382479281,0.6443118754789919,1104.7801194450346,0.7639847442694788,4.155170259116584,0.04222147271551473,2975.0,0.0,1423.0,0.0,0.9909041950393421,0.9000000000000004,0.8918137552847922,1.031552891426239,0.44509200765418455,0.023607759535885776,0.03982947202531863,-0.11169603383480967,0.14657030556612147,0.401673640167364,0.8475314413211578,0.0,239
13,train,pact,3.0,0,0.5019918537838604,0.12725742575537757,0.15907177225011132,0.0962343120550012,0.006276150814658927,0.017771980280025423,0.8623819125496692,0.8638921219185306,0.6284793520572295,1165.263900948369,0.5971157715722109,2.7356962085268988,0.06857290701788682,3213.0,0.0,1423.0,0.0,0.9919722167517849,0.9000000000000004,0.8927749806866985,0.7821177516870177,0.482667969592779,0.08379958623221942,0.0691710918153944,-0.10926423342040505,0.11461899328008116,0.3723849372384937,0.8638921237607279,0.0,239
14,train,pact,3.0,0,0.0043400218550171355,0.000994476092574172,0.0012430950187975454,0.0,0.0,0.016696603882036885,0.8300402377689234,0.8329483111034377,0.49740103710146627,1123.8910236438448,0.3742202929373067,8.64422353241733,0.014269195503855287,3451.0,0.0,1423.0,0.0,0.9909206409334638,0.9000000000000004,0.8918285556916912,4.930793821103003,-3.5510135539126075,0.009784038420539773,0.012664069672990453,-0.11050637205626326,0.15810827944719155,0.4100418410041841,0.8329483076756318,0.0,239
15,train,pact,3.0,0,0.3501149740058049,0.07503939554199597,0.09379923886988299,0.06276150789719745,0.0034867504525882926,0.016833306850853793,0.8213197105100464,0.8305338405415603,0.49424452387638174,991.5739651604177,0.5677230522020965,4.8977925769953545,0.06043981915782108,3689.0,0.0,1423.0,0.0,0.9909690209512432,0.9000000000000004,0.8918721027454073,0.6996895688746327,0.35471359857581464,0.027067182046410284,0.059599953966612725,-0.10315295601918605,0.09661468238874098,0.4602510460251046,0.8305338374085275,0.0,239
16,train,pact,3.0,0,0.45752092677940104,0.09908781510324592,0.12385976067691833,0.06555090844631195,0.0013947001810353172,0.01572142956314694,0.7823733344487066,0.7726458511841348,0.5312243883330453,952.061446568956,0.6610945964458098,3.4225727372089687,0.04271548664320073,3927.0,0.0,1423.0,0.0,0.9906581787384704,0.9000000000000004,0.8915923310124225,0.5472503838792377,0.5821776938724175,0.004757607756261477,0.047200285968181745,-0.10322972747272012,0.14999366045391152,0.3305439330543933,0.7726458519081288,0.0,239
17,train,pact,3.0,0,0.4881335476829956,0.12090480781742402,0.15113100186428108,0.08856346130869877,0.00488145063362361,0.01787304682715574,0.840450769937188,0.8487191147884066,0.7979544396180986,1054.2655808197405,0.7270861436382996,3.585792664454073,0.055455796782971675,4165.0,0.0,1423.0,0.0,0.9911102565262607,0.9000000000000004,0.8919992090269113,1.0186072277628548,0.6220898194344266,0.05353314400865482,0.05336591993969043,-0.10795440264849818,0.12704450361354128,0.36401673640167365,0.8487191140940687,0.0,239
18,train,pact,3.0,0,0.36126752409238416,0.07595264713573559,0.09494080359886291,0.05648535714488648,0.0027894003620706344,0.016285227093880677,0.7982922003109585,0.7952223912068491,0.5803237602301722,1182.5854517725222,0.705978052199635,5.085275423327251,0.04469325878899973,4403.0,0.0,1423.0,0.0,0.9908367512615156,0.9000000000000004,0.891753054064188,0.4591198269986514,0.49864981381346873,0.015382540133862716,0.047553041194142796,-0.10056243362042518,0.1101813110181311,0.42677824267782427,0.79522239396939,0.0,239
19,train,pact,3.0,0,0.3269574497412977,0.08261733658381745,0.10327166398569736,0.07043235901758761,0.0013947001810353172,0.017909555173786864,0.839599649277691,0.8520182015132705,0.7009199628271319,1289.293901898372,0.6271090495037733,4.5029173787667665,0.0514175677564868,4641.0,0.0,1423.0,0.0,0.9912905346399571,0.9000000000000004,0.8921614583566099,1.0871043877798217,0.5639737242978533,0.032598975612459204,0.04701256914898192,-0.11086052231963944,0.1376949410422214,0.3389121338912134,0.8520182000859796,0.0,239
20,train,pact,3.0,0,0.4510805060552793,0.10384297718212802,0.1298037140306451,0.07949791013196922,0.0006973500905176586,0.017193904683816104,0.850247395150831,0.8585903009859588,0.5881853180949159,1050.7985878150334,0.7355686580785648,2.346832493359075,0.07046963092305981,4879.0,0.0,1423.0,0.0,0.9911801645446522,0.9000000000000004,0.8920621303334895,0.7476158292646481,0.43784006084088345,0.0417745724290369,0.0699175427206032,-0.11029116330151559,0.12755166730062129,0.3305439330543933,0.8585902985348077,0.0,239
