episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,3.0,0,0.49418196437011425,0.19848772756614155,0.3308128367887959,0.28984404726257884,0.014263979124224835,0.017792258491529208,1.5092240055734643,1.6462040109614449,0.19814487063292394,-0.22004459776983318,0.4760081901540105,0.26778242677824265,1.6462040135562628,0.0,239
1,eval,blind,3.0,0,0.05326771741892722,0.00809181952095497,0.013486365129302083,0.0,0.0,0.00578059360217381,0.5811383300246554,0.5559422307682835,0.008091819370701879,-0.07858188843124486,0.07136710288139114,0.7740585774058577,0.5559422335907325,0.0,239
2,eval,blind,3.0,0,0.4955261337087284,0.17317948563302166,0.2886324289909254,0.27481932489193633,0.0,0.00906836575824596,0.540727743980276,0.8844330835167833,0.17317948581029322,-0.1408531479842731,0.38422505118846256,0.41841004184100417,0.8844330837614761,0.0,239
3,eval,blind,3.0,0,0.4595582126649525,0.16563847812046245,0.27606408992785825,0.25218714449445573,0.0,0.00917885845203623,0.5724139815843255,0.8902414290226653,0.16563847756001585,-0.128347010016668,0.25626873200985195,0.6443514644351465,0.8902414216335327,0.0,239
4,eval,blind,3.0,0,0.5008256455296923,0.15716292941600324,0.261938181436943,0.20806390296465183,0.0,0.008224160481092353,0.6212342410780894,0.8110966572078202,0.1571629298191948,-0.11752955155850635,0.22754384403098013,0.6903765690376569,0.8110966591468194,0.0,239
5,eval,blind,3.0,0,0.14822527385418105,0.020206507059190693,0.03367751006217039,0.0,0.0,0.005472277066081949,0.6107822844922293,0.5590343537689751,0.020206507183292956,-0.07316962722361982,0.0,1.0,0.5590343536367175,0.0,239
6,eval,blind,3.0,0,0.009418925725383427,0.0017430004349285756,0.0029050006266656794,0.0,0.0,0.00588691776626155,0.5840816822012099,0.5803633165159984,0.0017430004313362618,-0.07673463988761056,0.014866909997329298,0.8702928870292888,0.5803633169146092,0.0,239
7,eval,blind,3.0,0,0.5020268853461184,0.169134779098903,0.28189126323638475,0.23202738702047818,0.0,0.00868588719111731,0.6142514797558845,0.8433890556565887,0.16913477955518774,-0.11730508146504039,0.24982937179144785,0.6359832635983264,0.8433890491192341,0.0,239
8,eval,blind,3.0,0,0.16730015471176524,0.06279681684164,0.10466134907936173,0.07055914807269763,0.0,0.0069466293774833555,0.5599355701996193,0.6622576037086703,0.06279681658341961,-0.10384930401731061,0.20030267960473605,0.48535564853556484,0.662257603859272,0.0,239
9,eval,blind,3.0,0,0.5019918537838604,0.16563121476998222,0.27605198749222526,0.23221757453106437,0.0,0.008636382607661312,0.6126961776028118,0.8529525873676005,0.16563121453747123,-0.1263774361726036,0.2339832042493843,0.5941422594142259,0.8529525764210647,0.0,239
10,eval,blind,3.0,0,0.4417291495469365,0.16850983722451549,0.28084969109729924,0.2514263978812485,0.0,0.009289414939474485,0.5918823936369628,0.889775233538081,0.16850983755888987,-0.13419896980355991,0.3276655093622956,0.3598326359832636,0.8897752325117274,0.0,239
11,train,blind,3.0,0,0.46716103549544,0.20200507698917206,0.33667508103930055,0.29650057110327555,0.03290224505518271,0.017788059331445515,1.4964815325816805,1.6207198989441205,0.20042467015805396,-0.21787338029631617,0.3685569304727145,0.37656903765690375,1.6207199038848843,0.0,239
12,train,blind,3.0,0,0.48813355436147227,0.18660863253816953,0.31101434829794156,0.23069608267630493,0.012362115240994856,0.017600139881636185,1.6222625791278344,1.6151727329487582,0.1862126621491983,-0.21136502077119665,0.3485563369832933,0.33472803347280333,1.6151727386319061,0.0,239
13,train,blind,3.0,0,0.3308880299083897,0.11652310634899284,0.194205153480386,0.14092811006881203,0.006276150814658927,0.017525308217978004,1.6946872689733945,1.6527093739938536,0.11638589831991301,-0.20022682087031352,0.23083771031781358,0.4769874476987448,1.652709362508253,0.0,239
14,train,blind,3.0,0,0.0010625928217568533,0.0005336609809008177,0.0008894349063579071,0.0,0.0,0.01789842427914736,1.764492151128697,1.7629992862126818,0.0005336609135297123,-0.1991754382632569,0.09199086026291581,0.5732217573221757,1.762999283117514,0.0,239
15,train,blind,3.0,0,0.3069478625608959,0.09663377908727244,0.16105627956748775,0.10308101922897116,0.0003803727766459956,0.017225113284294824,1.8653668379683874,1.67748711548091,0.09662408667106803,-0.19780459319050994,0.18852191459687234,0.4476987447698745,1.6774871206477227,0.0,239
16,train,blind,3.0,0,0.0002036993206716357,0.00014237972507574772,0.00023729952439961946,0.0,0.0,0.019691767763330845,1.8833928821475934,1.8829097014590785,0.00014237973000756835,-0.21620686569957426,0.17540579839164366,0.4476987447698745,1.8829097150048786,0.0,239
17,train,blind,3.0,0,0.1299968671675179,0.05370266313286387,0.08950442839759717,0.04222137721013823,0.0003803727766459956,0.01901371848952633,1.9446446865672347,1.7931798712728413,0.05369683944089382,-0.21220717703184902,0.2160894982046945,0.35564853556485354,1.7931798675033486,0.0,239
18,train,blind,3.0,0,0.4769458410955545,0.16457108874775073,0.27428511708808495,0.16279954416482517,0.0005705591649689933,0.016709896292592005,2.091546519530867,1.6021119094293985,0.16456672151809973,-0.19063485635467173,0.2144870767678566,0.47280334728033474,1.602111918099758,0.0,239
19,train,blind,3.0,0,0.1371777911142497,0.05663435111978193,0.09439057666971787,0.02871814351450948,0.0001901863883229978,0.01930323051810888,2.032706362931798,1.8470065700957965,0.056620751683421,-0.23963345247965454,0.4651176592777234,0.13389121338912133,1.8470065789444936,0.0,239
20,train,blind,3.0,0,0.1335682206150051,0.05590679320859529,0.0931779840756763,0.022441993323330103,0.0,0.01954288536947704,2.057937123286674,1.8623346237457945,0.05590679401108166,-0.2197767597067085,0.2547553339861717,0.3263598326359833,1.862334612560072,0.0,239
21,train,blind,3.0,0,0.11274788101110218,0.05108504035593172,0.08514172759269477,0.01502472449047296,0.0001901863883229978,0.02013692550875527,2.088592778688694,1.9105404999465623,0.051084674330512024,-0.22546287892918365,0.278524585299267,0.28870292887029286,1.910540482806031,0.0,239
22,train,blind,3.0,0,0.03674999346555246,0.020982180312534047,0.03497029816591528,0.0,0.0,0.021152012241092435,2.0893884124117417,2.0119683343496284,0.02098217997942305,-0.23264744443829205,0.22614914389151017,0.36401673640167365,2.0119683137056694,0.0,239
23,train,blind,3.0,0,0.502052641987655,0.1811690009376872,0.30194830387284216,0.17249904909642672,0.0005705591649689933,0.01602692685234185,2.142476509804506,1.516804523423127,0.18116206252715106,-0.19542149232595674,0.32971304786492184,0.3598326359832636,1.5168045246041473,0.0,239
24,train,blind,3.0,0,0.0008817254575398053,0.0006409473683725006,0.0010682455534125176,0.0,0.0,0.021795213534243435,2.0556098995847183,2.0535623129441647,0.0006409472678486008,-0.24005853481258072,0.2667734947624558,0.2803347280334728,2.0535623277776343,0.0,239
25,train,blind,3.0,0,0.001747928173575944,0.001026717718399839,0.0017111961106101449,0.0,0.0,0.021415480237189196,2.0344842737189897,2.0311761964813937,0.0010267178320143738,-0.23293965200891997,0.1984628623994777,0.41422594142259417,2.0311761842111626,0.0,239
26,train,blind,3.0,0,3.939117242876347e-05,1.5447130726326926e-05,2.574521907464948e-05,0.0,0.0,0.021052783729204574,2.0026229679833896,2.0025717030010464,1.5447106858750486e-05,-0.227845365778272,0.1673343422653491,0.41422594142259417,2.0025716919970487,0.0,239
27,train,blind,3.0,0,0.22807283978866633,0.07954402827493609,0.13257336682218923,0.06485355661005156,0.0,0.01804940692620609,1.9684289938236381,1.7351490706828847,0.07954402794383435,-0.194434856896798,0.09222825603133623,0.6610878661087866,1.735149074848727,0.0,239
28,train,blind,3.0,0,0.00046352766528258015,0.0002752109872463167,0.0004586849466261403,0.0,0.0,0.01952216818258478,1.8547991758609916,1.854001489144489,0.00027521102727930526,-0.20888700620674064,0.11647229888127245,0.5397489539748954,1.8540014929484585,0.0,239
29,train,blind,3.0,0,0.47063660832414467,0.16976471560076,0.28294115527993297,0.2038798025462418,0.019969570586870905,0.015422934836271574,1.6118891498533752,1.4411496442419216,0.16833948396924064,-0.2391804150059102,0.6702572776640257,0.12133891213389121,1.4411496423518775,0.0,239
30,eval,blind,3.0,0,0.49905009486198143,0.15595791744217194,0.25992983301840167,0.1538607827913811,0.0,0.010641230408844604,1.6606263695401626,1.0330281460571988,0.1559579182184466,-0.17809791203488384,0.6709991394403397,0.1087866108786611,1.03302814327835,0.0,239
31,eval,blind,3.0,0,0.011099784369602368,0.006026460162407054,0.010044099494221106,0.0,0.0,0.014093816132288597,1.3247383189500626,1.299489024792755,0.006026460197112459,-0.14779997923464205,0.07495771387875011,0.8702928870292888,1.2994890270417965,0.0,239
32,eval,blind,3.0,0,0.4488243158769947,0.13214529261252259,0.22024212178136574,0.17763408133175582,0.0,0.011300635370659685,1.5974204954243105,1.0777817488527197,0.1321452924420399,-0.16641272245338704,0.4936941749013325,0.33472803347280333,1.0777817467398112,0.0,239
33,eval,blind,3.0,0,0.4955261374568512,0.15267098238828072,0.25445160734296485,0.14853556585112376,0.0,0.01042788347086156,1.6969926776247544,1.016459038379801,0.1526709825753246,-0.16252135693356093,0.5320335915012316,0.14225941422594143,1.016459043543646,0.0,239
34,eval,blind,3.0,0,0.502088449363476,0.15891274081724044,0.26485454071066916,0.12228984694351212,0.0,0.01036950051063617,1.687081347449554,0.9831333448447942,0.15891274054032783,-0.11450636808393182,0.013739280097332267,0.9121338912133892,0.9831333328278434,0.0,239
35,eval,blind,3.0,0,0.49821823029872664,0.15743127752082187,0.2623854340322605,0.12076835589927609,0.0,0.010419692526080462,1.6853572369619394,0.9809252108490117,0.15743127612560373,-0.11408349634191046,0.08475028932609277,0.8577405857740585,0.9809252149363785,0.0,239
36,eval,blind,3.0,0,3.583932445953487e-06,1.3127537233809547e-06,2.187922649050451e-06,0.0,0.0,0.01409607483892386,1.2949205726759205,1.2949217393308503,1.3127475738268204e-06,-0.1458407676778848,0.003056470518413009,0.9916317991631799,1.2949217370760409,0.0,239
37,eval,blind,3.0,0,0.43151489933949033,0.12282869658833778,0.20471446378728633,0.17858501358511059,0.0,0.011366959716043352,1.5952903984979605,1.0796125641240735,0.12282869608124312,-0.16105221643902712,0.47137897266981216,0.38493723849372385,1.0796125668673227,0.0,239
38,eval,blind,3.0,0,0.5019461374421663,0.15929159714074886,0.26548596703915983,0.12704450665158706,0.0,0.010332698976644412,1.688705182973311,0.9787839282007895,0.1592915960944418,-0.1108229510277082,0.0017211193210481023,0.9707112970711297,0.9787839285229852,0.0,239
39,eval,blind,3.0,0,0.4955261374568512,0.15367399350367755,0.2561232900344031,0.1517687328315679,0.0,0.010600338388472078,1.6526335981600455,1.0283038406691292,0.1536739919149311,-0.17798120102316295,0.6174960681325856,0.18828451882845187,1.028303844003415,0.0,239
40,train,blind,3.0,0,0.2988020511427855,0.08806902028607579,0.1467816867069468,0.0768352988250086,0.0011411183299379866,0.016504743335199655,1.7679132836633147,1.5989891699667256,0.08804142235411247,-0.18612301786859545,0.1483723552627674,0.5313807531380753,1.5989891698662126,0.0,239
41,train,blind,3.0,0,0.27401919350725557,0.08222947844083003,0.13704911850313178,0.0724610119559276,0.0017116774949069802,0.016676366293148205,1.7396524979978425,1.6445025093385863,0.08216998625672607,-0.1956677926098828,0.1995014688863171,0.47280334728033474,1.6445025063379588,0.0,239
42,train,blind,3.0,0,0.0488099870398625,0.013642592282347049,0.022737652712513032,0.0,0.0,0.016277995287873256,1.690335434849791,1.6751196214843496,0.013642592184913148,-0.19493260416524133,0.16033116709694648,0.497907949790795,1.675119631790301,0.0,239
43,train,blind,3.0,0,0.48708752257839305,0.1532882648338973,0.2554804133851348,0.14340053268057532,0.010270064969441882,0.016659884333657296,1.6495527091385431,1.5909448693736328,0.1528926572352084,-0.2123132475302894,0.4080833259147156,0.28451882845188287,1.5909448765673402,0.0,239
44,train,blind,3.0,0,0.17513455355801244,0.05472342056064807,0.09120569406070872,0.04108025869315638,0.0032331686014909623,0.016488420533476142,1.673083554750706,1.6526011405629593,0.054577689759677306,-0.21583679414441956,0.4034541084305172,0.26778242677824265,1.6526011473841666,0.0,239
45,train,blind,3.0,0,0.137177762364597,0.044779781019969656,0.07463296188371757,0.025865348063752243,0.0020920502715529757,0.01685712299461644,1.6737173466502873,1.6608800957891232,0.044728175614794634,-0.21325601186903573,0.35683551440695566,0.301255230125523,1.6608800870482898,0.0,239
46,train,blind,3.0,0,0.07879227929296571,0.030175299952107444,0.050292163875044586,0.008558387349838992,0.0,0.017078361051180498,1.677059241917343,1.6622976877699338,0.03017529986178206,-0.21571277847646483,0.3710199115700763,0.32217573221757323,1.6622976940478473,0.0,239
47,train,blind,3.0,0,0.0,0.0,0.0,0.0,0.0,0.017069115697028247,1.7086058226589378,1.7086058226589378,0.0,-0.23025329845256037,0.4716460429092851,0.28451882845188287,1.7086058212521618,0.0,239
48,train,blind,3.0,0,0.003041941807975517,0.001120694937964046,0.0018678247526402012,0.0,0.0,0.017407572721072694,1.7329948551984014,1.7328832483690653,0.0011206948306512821,-0.23521260894806237,0.4662749636487729,0.28451882845188287,1.7328832539606291,0.0,239
49,train,blind,3.0,0,7.168989468786756e-07,2.913990581143164e-07,4.856651171527523e-07,0.0,0.0,0.017619445314046352,1.7636955008845947,1.763696452064993,2.9139717062740395e-07,-0.2355647346411493,0.46235793346983584,0.2594142259414226,1.7636964545613822,0.0,239
50,train,blind,3.0,0,0.34251425579287914,0.10117848635285608,0.1686307958704853,0.0882464818126487,0.006846709979627921,0.016964182752539175,1.678716808931598,1.6598349704902042,0.10090319660208236,-0.2167179618589394,0.38027834653847303,0.29707112970711297,1.6598349712173919,0.0,239
51,train,blind,3.0,0,0.3685238404330022,0.11246433238353104,0.18744053726854626,0.10384176478226315,0.004944846096397943,0.017435615661137088,1.7110296971628356,1.7006073923290523,0.11231162103357438,-0.2202415698459949,0.3905160390516039,0.2803347280334728,1.700607391801847,0.0,239
52,train,blind,3.0,0,0.475447956226714,0.15308582094275378,0.2551430126344461,0.1247622674977929,0.008748573862857899,0.01684081602342832,1.7130191575533176,1.6658888302088781,0.15280257930250807,-0.22247831946020022,0.4414967803198908,0.24686192468619247,1.6658888086667731,0.0,239
